bestand,url,titel,regel,soort,ernst,citaat,context,ouderdom,uitleg,voorstel
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,15 september 2026,"week 38, 15 september 2026",0,Deze datum is over 0 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,15 oktober 2026,"Adelaide12, 13, 14 en 15 oktober 2026",30,Deze datum is over 30 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,23 september 2026,"Calgary, Alberta22 en 23 september 2026",8,Deze datum is over 8 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,17 september 2026,17 september 2026,2,Deze datum is over 2 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,7 oktober 2026,7 oktober 2026,22,Deze datum is over 22 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,28 september 2026,28 september 2026,13,Deze datum is over 13 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,14 oktober 2026,"Milaan12, 13 en 14 oktober 2026 (vol)",29,Deze datum is over 29 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,15 september 2026,15 september 2026,0,Deze datum is over 0 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,14 oktober 2026,"12, 13 en 14 oktober 2026",29,Deze datum is over 29 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,8 oktober 2026,"Innsbruck6, 7 en 8 oktober 2026",23,Deze datum is over 23 dagen voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,,verloopt-binnenkort,advies,16 september 2026,"Pattaya14, 15 en 16 september 2026",1,Deze datum is over 1 dag voorbij; daarna klopt de tekst niet meer.,Zet een herinnering om dit na die datum bij te werken.
